row_type,primitive,config,value,unit,platform,source,confidence,citation,citation_url,note
unit_cost,sha3_permutation (Keccak-f[1600]),,275.0,nJ/call,"130nm CMOS ASIC, 1 MHz (full Keccak-f[1600])",estimate:lit,unverified,"Pessl & Hutter, ""Pushing the Limits of SHA-3 Hardware Implementations to Fit on RFID,"" CHES 2013, Springer LNCS 8086",https://doi.org/10.1007/978-3-642-40349-1_8,"Primary source (eprint.iacr.org/2013/439) returned HTTP 403 during research; the 12.5 uW @ 1MHz, ~22k cycles/block figures are corroborated by independent search summaries of the paper's own table, not personally read from the PDF. Report as unverified."
unit_cost,spongent160_permutation_serial,,112.8,nJ/call,"0.13um CMOS ASIC, 100 kHz, serial datapath (d=4)",estimate:lit,verified,"Bogdanov, Knezevic, Leander, Toz, Varici, Verbauwhede, ""spongent: A Lightweight Hash Function,"" CHES 2011, Springer LNCS 6917, Table 2",https://iacr.org/archive/ches2011/69170311/69170311.pdf,"SPONGENT-160/160/16 (R=90 rounds), the exact variant this project's SpongentSuite implements. Serial datapath chosen to match this paper's existing GE citation for SPONGENT's compact profile (paper.tex already cites this same source for area)."
unit_cost,spongent160_permutation_parallel,,4.02,nJ/call,"0.13um CMOS ASIC, 100 kHz, parallel datapath (d=176, 1 round/cycle)",estimate:lit,verified,"Bogdanov, Knezevic, Leander, Toz, Varici, Verbauwhede, ""spongent: A Lightweight Hash Function,"" CHES 2011, Springer LNCS 6917, Table 2",https://iacr.org/archive/ches2011/69170311/69170311.pdf,"SPONGENT-160/160/16, faster/larger datapath option from the same table -- an area/energy trade against SPONGENT160_PERMUTATION_SERIAL."
unit_cost,ascon128a_aead,,0.75,uJ/byte,"Nordic Thingy:53 (nRF5340, dual-core ARM Cortex-M33)",estimate:lit,unverified,"Sorescu et al., ""Comparative Performance Analysis of Lightweight Cryptographic Algorithms on Resource-Constrained IoT Platforms,"" Sensors 2025, 25(18):5887",https://doi.org/10.3390/s25185887,"Figure is an upper bound (""<0.75 uJ/byte""), not a point estimate; measured during a BLE-mesh network test, not an isolated per-operation benchmark; the paper labels the algorithm ""ASCON32,"" which could not be confirmed to be exactly Ascon-128a (the parameter set this project's suite uses) versus a related Ascon variant. Treat as an order-of-magnitude figure only."
unit_cost,x25519_scalarmult,,5.14,mJ/call,"STM32L152RE (ARM Cortex-M3) @ 8 MHz, Vdd=3.3V, constant-time/side-channel-resistant implementation",estimate:lit,verified,"Franck, Grossschadl, Le Corre, Lenou Tago, ""Energy-Scalable Montgomery-Curve ECDH Key Exchange for ARM Cortex-M3 Microcontrollers,"" EMSICC 2018",https://orbilu.uni.lu/bitstream/10993/37497/1/EMSICC2018.pdf,"Curve25519, the exact curve X25519 uses. One scalar multiplication -- applies unmultiplied to EACH of this project's x25519Generate (keygen) and x25519Derive (derive) calls, which are each one scalar multiplication. A faster, non-constant-time variant in the same table measured 3.82 mJ; the constant-time figure is used here since the protocol's threat model assumes side-channel countermeasures (see paper.tex's stated threat-model assumption)."
unit_cost,radio_802.11_tx,,50.0,nJ/bit,"generic IEEE 802.11a radio, 6 Mbps (Atheros Communications 2003 power figures, as tabulated by the source below)",estimate:lit,verified,"Ergen & Varaiya, ""Decomposition of Energy Consumption in IEEE 802.11,"" UC Berkeley EECS",https://ptolemy.berkeley.edu/projects/ofdm/m/ergen/docs/paperv3PV.pdf,"0.3 W TX power / 6 Mbps = 50 nJ/bit, derived directly from the paper's own stated power and bitrate (simple division, not an external estimate)."
unit_cost,radio_802.11_rx,,30.8,nJ/bit,"generic IEEE 802.11a radio, 6 Mbps (Atheros Communications 2003 power figures, as tabulated by the source below)",estimate:lit,verified,"Ergen & Varaiya, ""Decomposition of Energy Consumption in IEEE 802.11,"" UC Berkeley EECS",https://ptolemy.berkeley.edu/projects/ofdm/m/ergen/docs/paperv3PV.pdf,"0.185 W RX power / 6 Mbps = 30.8 nJ/bit, derived directly from the paper's own stated power and bitrate."
unit_cost,mac,,,,,unavailable,,,,"HMAC-SHA3-256 / keyed-sponge MAC: no published energy figure found for this composed construction, only for the underlying hash/permutation (see SHA3_PERMUTATION / SPONGENT160_PERMUTATION_*)."
unit_cost,mac_verify,,,,,unavailable,,,,Same construction as mac; see mac's note.
unit_cost,kdf,,,,,unavailable,,,,HKDF / one-pass-sponge KDF: no published energy figure found for this composed construction.
